epoch,accuracy,loss,val_accuracy,val_loss
0,0.35842791199684143,1.3312972784042358,0.4149855971336365,1.2896113395690918
1,0.6269028782844543,1.0141316652297974,0.6657060384750366,0.9687555432319641
2,0.7852200269699097,0.6013390421867371,0.6657060384750366,0.82065349817276
3,0.8372543454170227,0.4346294105052948,0.680115282535553,0.8560354709625244
4,0.8790478706359863,0.3418438732624054,0.6887608170509338,0.9090082049369812
5,0.9034043550491333,0.27507632970809937,0.680115282535553,0.9203957319259644
6,0.9225021004676819,0.22949157655239105,0.6916426420211792,1.0077539682388306
7,0.9324660897254944,0.2008410543203354,0.6887608170509338,1.052048683166504
8,0.9482424855232239,0.16499823331832886,0.6772334575653076,1.1854346990585327
9,0.9584832787513733,0.14371494948863983,0.6714697480201721,1.1471558809280396
10,0.9615278244018555,0.12859024107456207,0.6685879230499268,1.22996187210083
11,0.9656794667243958,0.11436513811349869,0.6599423885345459,1.2843289375305176
12,0.9695543646812439,0.10683602839708328,0.6743515729904175,1.3997341394424438
13,0.9692776203155518,0.09928528964519501,0.6714697480201721,1.4811941385269165
14,0.9723221659660339,0.08822035789489746,0.6685879230499268,1.5011992454528809
15,0.972875714302063,0.08237281441688538,0.6858789920806885,1.5432751178741455
16,0.976473867893219,0.07922279089689255,0.6685879230499268,1.5743986368179321
17,0.9739828109741211,0.08230827003717422,0.6772334575653076,1.5740445852279663
18,0.975643515586853,0.07796660810709,0.6657060384750366,1.6023290157318115
19,0.9775809645652771,0.07272808253765106,0.6714697480201721,1.650933027267456
20,0.9753667116165161,0.07078229635953903,0.6685879230499268,1.6537903547286987
21,0.977027416229248,0.06498679518699646,0.6541786789894104,1.7389333248138428
22,0.9775809645652771,0.06265987455844879,0.6685879230499268,1.756188154220581
23,0.9773041605949402,0.060212016105651855,0.6599423885345459,1.8223373889923096
24,0.9773041605949402,0.062964528799057,0.6714697480201721,1.7920783758163452
